FrameCnt,DiffTime_ms,Date,Time,rel_alt,abs_alt,iso,shutter,fnum,ev,color_md,focal_len,latitude,longitude,ct,center_lat,center_lon,ground_offset_m,heading_deg,frame_num
668,33,2026-04-27,15:22:49.109,114.4,824.442,100,1/1250.0,1.7,0,default,24.0,32.102631,35.209722,5232,32.10335767432443,35.21057984022292,114.39999999999999,45.0,667
669,33,2026-04-27,15:22:49.142,114.4,824.442,100,1/1250.0,1.7,0,default,24.0,32.102631,35.209722,5232,32.10335767432443,35.21057984022292,114.39999999999999,45.0,668
670,34,2026-04-27,15:22:49.175,114.4,824.442,100,1/1250.0,1.7,0,default,24.0,32.102631,35.209722,5232,32.10335767432443,35.21057984022292,114.39999999999999,45.0,669
671,33,2026-04-27,15:22:49.208,114.6,824.642,100,1/1250.0,1.7,0,default,24.0,32.102631,35.209722,5232,32.10335894473409,35.210581339943595,114.59999999999998,45.0,670
672,34,2026-04-27,15:22:49.242,114.6,824.642,100,1/1250.0,1.7,0,default,24.0,32.102631,35.209722,5232,32.10335894473409,35.210581339943595,114.59999999999998,45.0,671
673,33,2026-04-27,15:22:49.276,114.6,824.642,100,1/1250.0,1.7,0,default,24.0,32.102631,35.209722,5232,32.10335894473409,35.210581339943595,114.59999999999998,45.0,672
674,33,2026-04-27,15:22:49.309,114.8,824.842,100,1/1250.0,1.7,0,default,24.0,32.102631,35.209722,5232,32.103360215143745,35.21058283966426,114.79999999999998,45.0,673
675,34,2026-04-27,15:22:49.342,114.8,824.842,100,1/1250.0,1.7,0,default,24.0,32.102631,35.209722,5232,32.103360215143745,35.21058283966426,114.79999999999998,45.0,674
676,33,2026-04-27,15:22:49.376,114.8,824.842,100,1/1250.0,1.7,0,default,24.0,32.102631,35.209722,5231,32.103360215143745,35.21058283966426,114.79999999999998,45.0,675
677,33,2026-04-27,15:22:49.409,115.0,825.042,100,1/1250.0,1.7,0,default,24.0,32.102631,35.209722,5230,32.10336148555341,35.21058433938493,114.99999999999999,45.0,676
678,34,2026-04-27,15:22:49.442,115.0,825.042,100,1/1250.0,1.7,0,default,24.0,32.102631,35.209722,5229,32.10336148555341,35.21058433938493,114.99999999999999,45.0,677
679,33,2026-04-27,15:22:49.476,115.0,825.042,100,1/1250.0,1.7,0,default,24.0,32.102631,35.209722,5228,32.10336148555341,35.21058433938493,114.99999999999999,45.0,678
680,33,2026-04-27,15:22:49.508,115.2,825.242,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5228,32.10336375596306,35.21058683911506,115.19999999999999,45.0,679
681,34,2026-04-27,15:22:49.543,115.2,825.242,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5227,32.10336375596306,35.21058683911506,115.19999999999999,45.0,680
682,33,2026-04-27,15:22:49.576,115.2,825.242,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5226,32.10336375596306,35.21058683911506,115.19999999999999,45.0,681
683,34,2026-04-27,15:22:49.609,115.3,825.342,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5225,32.10336439116789,35.2105875889754,115.29999999999998,45.0,682
684,33,2026-04-27,15:22:49.642,115.3,825.342,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5224,32.10336439116789,35.2105875889754,115.29999999999998,45.0,683
685,33,2026-04-27,15:22:49.676,115.3,825.342,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5223,32.10336439116789,35.2105875889754,115.29999999999998,45.0,684
686,34,2026-04-27,15:22:49.709,115.4,825.442,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5222,32.103365026372714,35.21058833883574,115.39999999999999,45.0,685
687,33,2026-04-27,15:22:49.742,115.4,825.442,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5221,32.103365026372714,35.21058833883574,115.39999999999999,45.0,686
688,33,2026-04-27,15:22:49.776,115.4,825.442,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5220,32.103365026372714,35.21058833883574,115.39999999999999,45.0,687
689,34,2026-04-27,15:22:49.809,115.5,825.542,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5220,32.10336566157755,35.21058908869608,115.49999999999999,45.0,688
690,33,2026-04-27,15:22:49.843,115.5,825.542,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5219,32.10336566157755,35.21058908869608,115.49999999999999,45.0,689
691,34,2026-04-27,15:22:49.876,115.5,825.542,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5219,32.10336566157755,35.21058908869608,115.49999999999999,45.0,690
692,33,2026-04-27,15:22:49.910,115.6,825.642,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5218,32.103366296782376,35.21058983855643,115.59999999999998,45.0,691
693,33,2026-04-27,15:22:49.942,115.6,825.642,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5217,32.103366296782376,35.21058983855643,115.59999999999998,45.0,692
694,34,2026-04-27,15:22:49.975,115.6,825.642,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5216,32.103366296782376,35.21058983855643,115.59999999999998,45.0,693
695,33,2026-04-27,15:22:50.010,115.7,825.742,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5215,32.1033669319872,35.21059058841677,115.69999999999999,45.0,694
696,33,2026-04-27,15:22:50.042,115.7,825.742,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5215,32.1033669319872,35.21059058841677,115.69999999999999,45.0,695
697,34,2026-04-27,15:22:50.076,115.7,825.742,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5214,32.1033669319872,35.21059058841677,115.69999999999999,45.0,696
698,33,2026-04-27,15:22:50.110,115.8,825.842,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5213,32.10336756719203,35.21059133827711,115.79999999999998,45.0,697
699,33,2026-04-27,15:22:50.143,115.8,825.842,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5213,32.10336756719203,35.21059133827711,115.79999999999998,45.0,698
700,34,2026-04-27,15:22:50.177,115.8,825.842,100,1/1250.0,1.7,0,default,24.0,32.102632,35.209723,5212,32.10336756719203,35.21059133827711,115.79999999999998,45.0,699
701,33,2026-04-27,15:22:50.210,115.9,825.942,100,1/1250.0,1.7,0,default,24.0,32.102633,35.209723,5212,32.10336920239686,35.210592088146974,115.89999999999999,45.0,700
702,34,2026-04-27,15:22:50.243,115.9,825.942,100,1/1250.0,1.7,0,default,24.0,32.102633,35.209723,5212,32.10336920239686,35.210592088146974,115.89999999999999,45.0,701
703,33,2026-04-27,15:22:50.277,115.9,825.942,100,1/1250.0,1.7,0,default,24.0,32.102633,35.209723,5212,32.10336920239686,35.210592088146974,115.89999999999999,45.0,702
704,33,2026-04-27,15:22:50.310,116.1,826.142,100,1/1250.0,1.7,0,default,24.0,32.102633,35.209724,5212,32.10337047280652,35.21059458786768,116.09999999999998,45.0,703
705,34,2026-04-27,15:22:50.343,116.1,826.142,100,1/1250.0,1.7,0,default,24.0,32.102633,35.209724,5212,32.10337047280652,35.21059458786768,116.09999999999998,45.0,704
706,33,2026-04-27,15:22:50.377,116.1,826.142,100,1/1250.0,1.7,0,default,24.0,32.102633,35.209724,5212,32.102633,35.21095519716971,116.09999999999998,90.0,705
707,33,2026-04-27,15:22:50.410,116.2,826.242,100,1/1250.0,1.7,0,default,24.0,32.102633,35.209724,5212,32.102633,35.21095625763239,116.19999999999999,90.0,706
708,34,2026-04-27,15:22:50.443,116.2,826.242,100,1/1250.0,1.7,0,default,24.0,32.102633,35.209724,5212,32.102633,35.21095625763239,116.19999999999999,90.0,707
709,33,2026-04-27,15:22:50.477,116.2,826.242,100,1/1250.0,1.7,0,default,24.0,32.102633,35.209724,5212,32.102633,35.21095625763239,116.19999999999999,90.0,708
710,33,2026-04-27,15:22:50.510,116.3,826.342,100,1/1250.0,1.7,0,default,24.0,32.102633,35.209724,5211,32.102633,35.21095731809507,116.29999999999998,90.0,709
711,34,2026-04-27,15:22:50.544,116.3,826.342,100,1/1250.0,1.7,0,default,24.0,32.102633,35.209724,5211,32.102633,35.21095731809507,116.29999999999998,90.0,710
712,33,2026-04-27,15:22:50.577,116.3,826.342,100,1/1250.0,1.7,0,default,24.0,32.102633,35.209724,5210,32.102633,35.21095731809507,116.29999999999998,90.0,711
713,34,2026-04-27,15:22:50.610,116.5,826.542,100,1/1250.0,1.7,0,default,24.0,32.102633,35.209724,5209,32.102633,35.21095943902042,116.49999999999999,90.0,712
