FrameCnt,DiffTime_ms,Date,Time,rel_alt,abs_alt,iso,shutter,fnum,ev,color_md,focal_len,latitude,longitude,ct,center_lat,center_lon,ground_offset_m,heading_deg
1,33,2026-04-27,15:27:35.261,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102482,35.209687,5452,32.10292936101149,35.209687,49.79999999999999,0.0
2,33,2026-04-27,15:27:35.295,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.10293036101149,35.209687,49.79999999999999,0.0
3,33,2026-04-27,15:27:35.328,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.10293036101149,35.209687,49.79999999999999,0.0
4,34,2026-04-27,15:27:35.361,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.10293036101149,35.209687,49.79999999999999,0.0
5,33,2026-04-27,15:27:35.395,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.10293036101149,35.209687,49.79999999999999,0.0
6,33,2026-04-27,15:27:35.428,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.10293036101149,35.209687,49.79999999999999,0.0
7,34,2026-04-27,15:27:35.462,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.10293036101149,35.209687,49.79999999999999,0.0
8,33,2026-04-27,15:27:35.495,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.10293036101149,35.209687,49.79999999999999,0.0
9,33,2026-04-27,15:27:35.527,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.10293036101149,35.209687,49.79999999999999,0.0
10,34,2026-04-27,15:27:35.561,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.10293036101149,35.209687,49.79999999999999,0.0
11,33,2026-04-27,15:27:35.595,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.10293036101149,35.209687,49.79999999999999,0.0
12,34,2026-04-27,15:27:35.627,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.10293036101149,35.209687,49.79999999999999,0.0
13,33,2026-04-27,15:27:35.662,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.10293036101149,35.209687,49.79999999999999,0.0
14,33,2026-04-27,15:27:35.694,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.10293036101149,35.209687,49.79999999999999,0.0
15,34,2026-04-27,15:27:35.729,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.10293036101149,35.209687,49.79999999999999,0.0
16,33,2026-04-27,15:27:35.762,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.10293036101149,35.209687,49.79999999999999,0.0
17,33,2026-04-27,15:27:35.795,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.10293036101149,35.209687,49.79999999999999,0.0
18,34,2026-04-27,15:27:35.829,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.10293036101149,35.209687,49.79999999999999,0.0
19,33,2026-04-27,15:27:35.862,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5452,32.102483,35.2091588904535,49.79999999999999,270.0
20,33,2026-04-27,15:27:35.895,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
21,34,2026-04-27,15:27:35.928,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
22,33,2026-04-27,15:27:35.962,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
23,34,2026-04-27,15:27:35.995,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
24,33,2026-04-27,15:27:36.028,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
25,33,2026-04-27,15:27:36.062,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
26,34,2026-04-27,15:27:36.095,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
27,33,2026-04-27,15:27:36.129,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
28,33,2026-04-27,15:27:36.162,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
29,34,2026-04-27,15:27:36.196,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
30,33,2026-04-27,15:27:36.229,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
31,34,2026-04-27,15:27:36.262,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
32,33,2026-04-27,15:27:36.296,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
33,33,2026-04-27,15:27:36.329,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
34,34,2026-04-27,15:27:36.362,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
35,33,2026-04-27,15:27:36.396,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
36,33,2026-04-27,15:27:36.428,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
37,34,2026-04-27,15:27:36.462,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
